"ts","eventId","Transform"
2024-10-17T21:56:58.878Z,0,"{""position"":{""x"":0.103654228,""y"":1.38462663,""z"":-0.0643268451},""rotation"":{""x"":0.172472149,""y"":0.4538372,""z"":-0.08180584,""w"":0.870398164},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.891Z,0,"{""position"":{""x"":0.10566467,""y"":1.38329411,""z"":-0.06565258},""rotation"":{""x"":0.172763661,""y"":0.461712539,""z"":-0.08400119,""w"":0.8659781},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.907Z,0,"{""position"":{""x"":0.107986,""y"":1.38286436,""z"":-0.06742044},""rotation"":{""x"":0.174924344,""y"":0.467354119,""z"":-0.08589213,""w"":0.862324953},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.923Z,0,"{""position"":{""x"":0.11028225,""y"":1.3824085,""z"":-0.06874162},""rotation"":{""x"":0.175063074,""y"":0.474647582,""z"":-0.08652216,""w"":0.8582403},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.935Z,0,"{""position"":{""x"":0.112578481,""y"":1.38203132,""z"":-0.0703545138},""rotation"":{""x"":0.174313352,""y"":0.4818985,""z"":-0.08664674,""w"":0.854330838},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.950Z,0,"{""position"":{""x"":0.114787355,""y"":1.38172674,""z"":-0.0719621},""rotation"":{""x"":0.173567489,""y"":0.4897625,""z"":-0.08765965,""w"":0.8498958},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.965Z,0,"{""position"":{""x"":0.11687912,""y"":1.382047,""z"":-0.07366136},""rotation"":{""x"":0.1736873,""y"":0.498298526,""z"":-0.0894887149,""w"":0.844702959},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.976Z,0,"{""position"":{""x"":0.118795857,""y"":1.38260877,""z"":-0.0753300861},""rotation"":{""x"":0.172643423,""y"":0.5071795,""z"":-0.0899854,""w"":0.8395629},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.989Z,0,"{""position"":{""x"":0.120701991,""y"":1.3833518,""z"":-0.0768932253},""rotation"":{""x"":0.169157252,""y"":0.515687764,""z"":-0.08831845,""w"":0.835255563},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:59.005Z,0,"{""position"":{""x"":0.122250967,""y"":1.38411307,""z"":-0.07843996},""rotation"":{""x"":0.166253462,""y"":0.5249653,""z"":-0.08390165,""w"":0.83050096},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
